candidate,file_eer,voice_eer,music_eer,ads,cps,total,worst_total,voice_unseen_eer,music_unseen_eer,cal_old,cal_v12,robust_objective,delta_robust,hard_gate_pass
BASELINE_V7,0.12083333333333335,0.16666666666666669,0.02083333333333335,0.8999999999999999,0.9705810546875,0.9070581054687501,0.887333984375,0.4,0.4,0.8853084885712237,0.5885346196633223,0.7609410902586193,0.0,True
M1,0.11666666666666668,0.16666666666666669,0.06770833333333334,0.8880208333333334,0.9691162109375,0.89613037109375,0.8759700520833333,0.4,0.4375,0.8698614907802479,0.5872085552663616,0.748363607492929,-0.012577482765690373,False
M2,0.13072916666666667,0.16666666666666669,0.0625,0.8825520833333332,0.9671223958333333,0.8910091145833333,0.865380859375,0.4,0.5,0.8622571315073239,0.6192533056966543,0.73978597313268,-0.021155117125939316,False
M3,0.12239583333333334,0.16666666666666669,0.05208333333333332,0.8898437499999999,0.9681803385416666,0.8976774088541667,0.8656575520833333,0.4,0.44999999999999996,0.8742548964019807,0.6084362144746233,0.7491716516575322,-0.011769438601087145,False
M4,0.12343749999999999,0.16666666666666669,0.02083333333333335,0.8986979166666667,0.9707438151041666,0.9059025065104167,0.8797851562500001,0.4,0.4,0.886046802028629,0.5919883632089333,0.7601486748507386,-0.0007924154078807755,True
M5,0.11927083333333334,0.16666666666666669,0.0625,0.88828125,0.9699300130208333,0.8964461263020833,0.878798828125,0.4,0.44999999999999996,0.8738350021841765,0.6036014124092188,0.7500468179832801,-0.010894272275339234,False
