voice_alpha,voice_method,music_alpha,music_method,voice_affects_file,music_affects_file,deployable,robust_objective,joint_selection_objective,mean_total,worst_total,unseen_total,mean_ads,mean_file_eer,mean_voice_eer,worst_voice_eer,mean_music_eer,worst_music_eer,voice_unseen_eer,music_unseen_eer
0.75,probability,1.0,probability,False,False,True,0.9029112141927084,0.8868503499348959,0.9103434244791667,0.8948828125,0.8992057291666669,0.9036458333333335,0.12083333333333335,0.15625,0.16666666666666663,0.015625000000000014,0.02083333333333335,0.275,0.3125
0.75,probability,1.0,probability,False,True,True,0.9029112141927084,0.8868503499348959,0.9103434244791667,0.8948828125,0.8992057291666669,0.9036458333333335,0.12083333333333335,0.15625,0.16666666666666663,0.015625000000000014,0.02083333333333335,0.275,0.3125
0.75,probability,1.0,logit,False,False,True,0.9029112141927084,0.8868503499348959,0.9103434244791667,0.8948828125,0.8992057291666669,0.9036458333333335,0.12083333333333335,0.15625,0.16666666666666663,0.015625000000000014,0.02083333333333335,0.275,0.3125
0.75,probability,1.0,logit,False,True,True,0.9029112141927084,0.8868503499348959,0.9103434244791667,0.8948828125,0.8992057291666669,0.9036458333333335,0.12083333333333335,0.15625,0.16666666666666663,0.015625000000000014,0.02083333333333335,0.275,0.3125
0.75,probability,1.0,max,False,False,True,0.9029112141927084,0.8868503499348959,0.9103434244791667,0.8948828125,0.8992057291666669,0.9036458333333335,0.12083333333333335,0.15625,0.16666666666666663,0.015625000000000014,0.02083333333333335,0.275,0.3125
0.75,probability,1.0,probability,True,False,True,0.9029112141927084,0.8868503499348959,0.9103434244791667,0.8948828125,0.8992057291666669,0.9036458333333335,0.12083333333333335,0.15625,0.16666666666666663,0.015625000000000014,0.02083333333333335,0.275,0.3125
0.75,probability,1.0,probability,True,True,True,0.8948096516927084,0.8811792561848959,0.9033121744791668,0.8845703125,0.8917057291666668,0.8958333333333334,0.13645833333333335,0.15625,0.16666666666666663,0.015625000000000014,0.02083333333333335,0.275,0.3125
0.75,probability,1.0,logit,True,False,True,0.9029112141927084,0.8868503499348959,0.9103434244791667,0.8948828125,0.8992057291666669,0.9036458333333335,0.12083333333333335,0.15625,0.16666666666666663,0.015625000000000014,0.02083333333333335,0.275,0.3125
0.75,probability,1.0,logit,True,True,True,0.8948096516927084,0.8811792561848959,0.9033121744791668,0.8845703125,0.8917057291666668,0.8958333333333334,0.13645833333333335,0.15625,0.16666666666666663,0.015625000000000014,0.02083333333333335,0.275,0.3125
0.75,probability,1.0,max,True,False,True,0.9029112141927084,0.8868503499348959,0.9103434244791667,0.8948828125,0.8992057291666669,0.9036458333333335,0.12083333333333335,0.15625,0.16666666666666663,0.015625000000000014,0.02083333333333335,0.275,0.3125
0.75,logit,1.0,probability,False,False,True,0.9029112141927084,0.8857253499348958,0.9103434244791667,0.8948828125,0.8992057291666669,0.9036458333333335,0.12083333333333335,0.15625,0.16666666666666663,0.015625000000000014,0.02083333333333335,0.30000000000000004,0.3125
0.75,logit,1.0,probability,False,True,True,0.9029112141927084,0.8857253499348958,0.9103434244791667,0.8948828125,0.8992057291666669,0.9036458333333335,0.12083333333333335,0.15625,0.16666666666666663,0.015625000000000014,0.02083333333333335,0.30000000000000004,0.3125
0.75,logit,1.0,logit,False,False,True,0.9029112141927084,0.8857253499348958,0.9103434244791667,0.8948828125,0.8992057291666669,0.9036458333333335,0.12083333333333335,0.15625,0.16666666666666663,0.015625000000000014,0.02083333333333335,0.30000000000000004,0.3125
0.75,logit,1.0,logit,False,True,True,0.9029112141927084,0.8857253499348958,0.9103434244791667,0.8948828125,0.8992057291666669,0.9036458333333335,0.12083333333333335,0.15625,0.16666666666666663,0.015625000000000014,0.02083333333333335,0.30000000000000004,0.3125
0.75,logit,1.0,max,False,False,True,0.9029112141927084,0.8857253499348958,0.9103434244791667,0.8948828125,0.8992057291666669,0.9036458333333335,0.12083333333333335,0.15625,0.16666666666666663,0.015625000000000014,0.02083333333333335,0.30000000000000004,0.3125
0.75,logit,1.0,probability,True,False,True,0.9029112141927084,0.8857253499348958,0.9103434244791667,0.8948828125,0.8992057291666669,0.9036458333333335,0.12083333333333335,0.15625,0.16666666666666663,0.015625000000000014,0.02083333333333335,0.30000000000000004,0.3125
0.75,logit,1.0,probability,True,True,True,0.8948096516927084,0.8800542561848959,0.9033121744791668,0.8845703125,0.8917057291666668,0.8958333333333334,0.13645833333333335,0.15625,0.16666666666666663,0.015625000000000014,0.02083333333333335,0.30000000000000004,0.3125
0.75,logit,1.0,logit,True,False,True,0.9029112141927084,0.8857253499348958,0.9103434244791667,0.8948828125,0.8992057291666669,0.9036458333333335,0.12083333333333335,0.15625,0.16666666666666663,0.015625000000000014,0.02083333333333335,0.30000000000000004,0.3125
