voice_alpha,voice_method,music_alpha,music_method,voice_affects_file,music_affects_file,deployable,robust_objective,joint_selection_objective,mean_total,worst_total,unseen_total,mean_ads,mean_file_eer,mean_voice_eer,worst_voice_eer,mean_music_eer,worst_music_eer,voice_unseen_eer,music_unseen_eer
0.0,probability,0.0,probability,False,False,True,0.8987836100260416,0.8715860270182291,0.9070621744791666,0.8873828125,0.8973307291666668,0.8999999999999999,0.12083333333333335,0.16666666666666669,0.20833333333333337,0.02083333333333335,0.02083333333333335,0.4,0.4
0.0,probability,0.0,probability,True,False,True,0.8987836100260416,0.8715860270182291,0.9070621744791666,0.8873828125,0.8973307291666668,0.8999999999999999,0.12083333333333335,0.16666666666666669,0.20833333333333337,0.02083333333333335,0.02083333333333335,0.4,0.4
0.05,probability,0.0,probability,False,False,True,0.8974971516927083,0.8714980061848957,0.9061246744791666,0.8873828125,0.8935807291666666,0.8989583333333333,0.12083333333333335,0.171875,0.20833333333333337,0.02083333333333335,0.02083333333333335,0.375,0.4
0.05,probability,0.0,probability,True,False,True,0.8974971516927083,0.8714980061848957,0.9061246744791666,0.8873828125,0.8935807291666666,0.8989583333333333,0.12083333333333335,0.171875,0.20833333333333337,0.02083333333333335,0.02083333333333335,0.375,0.4
0.1,probability,0.0,probability,False,False,True,0.8989711100260417,0.8737797770182291,0.9070621744791666,0.8911328124999999,0.8935807291666666,0.9,0.12083333333333335,0.16666666666666666,0.1875,0.02083333333333335,0.02083333333333335,0.375,0.4
0.1,probability,0.0,probability,True,False,True,0.8989711100260417,0.8737797770182291,0.9070621744791666,0.8911328124999999,0.8935807291666666,0.9,0.12083333333333335,0.16666666666666666,0.1875,0.02083333333333335,0.02083333333333335,0.375,0.4
0.15,probability,0.0,probability,False,False,True,0.8989711100260417,0.8737797770182291,0.9070621744791666,0.8911328124999999,0.8935807291666666,0.9,0.12083333333333335,0.16666666666666666,0.1875,0.02083333333333335,0.02083333333333335,0.375,0.4
0.15,probability,0.0,probability,True,False,True,0.8989711100260417,0.8737797770182291,0.9070621744791666,0.8911328124999999,0.8935807291666666,0.9,0.12083333333333335,0.16666666666666666,0.1875,0.02083333333333335,0.02083333333333335,0.375,0.4
0.2,probability,0.0,probability,False,False,True,0.8989711100260417,0.8749047770182291,0.9070621744791666,0.8911328124999999,0.8935807291666666,0.9,0.12083333333333335,0.16666666666666666,0.1875,0.02083333333333335,0.02083333333333335,0.35,0.4
0.2,probability,0.0,probability,True,False,True,0.8989711100260417,0.8749047770182291,0.9070621744791666,0.8911328124999999,0.8935807291666666,0.9,0.12083333333333335,0.16666666666666666,0.1875,0.02083333333333335,0.02083333333333335,0.35,0.4
0.25,probability,0.0,probability,False,False,True,0.8989711100260417,0.8749047770182291,0.9070621744791666,0.8911328124999999,0.8935807291666666,0.9,0.12083333333333335,0.16666666666666666,0.1875,0.02083333333333335,0.02083333333333335,0.35,0.4
0.25,probability,0.0,probability,True,False,True,0.8989711100260417,0.8749047770182291,0.9070621744791666,0.8911328124999999,0.8935807291666666,0.9,0.12083333333333335,0.16666666666666666,0.1875,0.02083333333333335,0.02083333333333335,0.35,0.4
0.3,probability,0.0,probability,False,False,True,0.8989711100260417,0.8760297770182291,0.9070621744791666,0.8911328124999999,0.8935807291666666,0.9,0.12083333333333335,0.16666666666666666,0.1875,0.02083333333333335,0.02083333333333335,0.32499999999999996,0.4
0.3,probability,0.0,probability,True,False,True,0.8989711100260417,0.8760297770182291,0.9070621744791666,0.8911328124999999,0.8935807291666666,0.9,0.12083333333333335,0.16666666666666666,0.1875,0.02083333333333335,0.02083333333333335,0.32499999999999996,0.4
