task,epoch,split,train_loss,file_eer,voice_eer,music_eer,voice_auc,music_auc,ads,cps,score,total
voice,1,val_a,0.5654395694338431,0.3169169745049355,0.26748207373564314,0.5552646887725422,0.9707520891364902,0.6259983631078373,0.6214656913686409,0.7983752261221637,0.6391566448439931,0.6391566448439931
voice,1,val_b,0.5654395694338431,0.2864741641337386,0.30009896091044036,0.4817343992893626,0.936086529006883,0.676321243523316,0.6522228059642339,0.8062038862650995,0.6676209139943206,0.6676209139943206
voice,1,val_c,0.5654395694338431,0.27573729788651363,0.26178691541341453,0.6000166209590294,0.9706240194665897,0.5738012587136285,0.6297689816863514,0.7722126390901092,0.6440133474267272,0.6440133474267272
voice,1,val_d,0.5654395694338431,0.38823956882456245,0.4512183514182372,0.5552646887725422,0.959690071398841,0.4078965935709649,0.5490571386723087,0.6837933324849029,0.5625307580535681,0.5625307580535681
