experiment,task,backbone,use_demucs,file_eer,voice_eer,music_eer,voice_auc,music_auc,score,val_b_score,val_c_score,val_d_score,fusion_weights,notes
voice_aasist,voice,aasist,True,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"{""w_voice_file"": 0.5714285714285714, ""w_music_file"": 0.2857142857142857, ""w_prob_or"": 0.14285714285714285, ""val_score"": 0.5}",real
music_spec_cnn,music,spec_cnn,True,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,"{""w_voice_file"": 0.5714285714285714, ""w_music_file"": 0.2857142857142857, ""w_prob_or"": 0.14285714285714285, ""val_score"": 0.5}",real
